Date,ARCHER-DANIELS-MIDLAND CO,BANK OF AMERICA CORP,CONAGRA BRANDS INC,COLGATE-PALMOLIVE CO,CAMPBELL SOUP CO,JOHNSON & JOHNSON,JPMORGAN CHASE & CO,KELLANOVA,COCA-COLA CO,LILLY (ELI) & CO,MERCK & CO,PFIZER INC,PROCTER & GAMBLE CO,TYSON FOODS INC  -CL A,WALMART INC
1974-06,0.064,-0.1524,-0.0769,0.0478,-0.1048,-0.0152,-0.0899,-0.0635,0.0129,0.0382,-0.0019,0.0355,0.0179,-0.2414,0.1471
1974-07,0.0376,-0.275,-0.3333,-0.1316,-0.0209,-0.1325,0.0308,-0.1186,-0.2118,-0.1472,-0.1465,-0.2055,-0.0444,-0.0606,0
1974-08,-0.0181,-0.1031,-0.0313,-0.1058,-0.0698,-0.1239,-0.1343,-0.1231,-0.1454,-0.0507,-0.047,-0.1486,-0.1278,-0.2742,-0.1538
1974-09,-0.1259,-0.3981,-0.0645,-0.2071,-0.07,-0.1208,0.0076,0.0444,-0.2882,-0.1052,-0.2087,-0.0612,-0.1178,-0.0889,-0.1409
1974-10,0.1525,0.3387,-0.1034,0.5027,0.174,0.1523,0.2281,0.234,0.2293,0.2838,0.3134,0.3913,0.1945,0.2683,-0.1239
1974-11,0.0037,-0.2169,0.3846,-0.01,-0.0093,-0.0322,-0.0179,-0.0759,-0.1344,-0.0294,0.0379,0.0114,-0.0461,-0.1731,-0.1919
1974-12,0.1647,-0.0609,-0.25,-0.0253,0.0396,-0.0372,-0.1318,0.1509,-0.0185,-0.0286,-0.0259,0.0233,-0.0151,-0.1163,-0.05
1975-01,0.0486,0.45,0.1852,0.0589,0.1955,-0.0386,0.3047,0.0164,0.2571,-0.046,-0.0433,-0.1369,0.1273,0.3158,0.5789
1975-02,0.1623,0.1034,0.2187,0.1084,-0.0494,0.2122,-0.0461,0.0419,0.0488,0.1642,0.1811,0.207,0.0328,0.28,-0.0583
1975-03,0.0057,-0.0413,0.1282,0.0178,-0.008,-0.0346,0.0095,0.0703,0.1388,-0.0681,0.0147,-0.0528,0.0146,0.0781,0.4181
1975-04,0.2102,0.0769,0.4091,-0.0334,-0.0384,-0.0028,0.0139,-0.0146,0.0142,-0.0018,0.0347,-0.0039,0,0.1594,-0.1438
1975-05,0.1009,0.0408,-0.0323,0.1864,0.0466,0.0533,-0.0206,0.0326,0.1201,0.0861,0.0558,0.0721,0.0184,0.05,0.2263
1975-06,0.1325,0.0298,0.2167,-0.0153,0.0688,0.0237,0.1711,0.1884,0.0162,0.0347,0.0314,-0.0219,0.0116,0.3095,0.1621
1975-07,0.0566,-0.125,-0.1096,-0.1153,-0.0058,-0.086,-0.0396,-0.1159,-0.12,-0.1324,-0.1162,-0.1903,-0.0828,-0.1,0.0051
1975-08,-0.0839,-0.0215,0.0615,-0.0442,-0.0308,-0.0301,-0.1556,0.0855,-0.0345,-0.0493,-0.0602,0,-0.0559,-0.1313,-0.0408
1975-09,0.0547,-0.125,-0.058,-0.0278,-0.0714,-0.0827,-0.0874,-0.0256,-0.0737,-0.2097,-0.0302,-0.0759,-0.0178,0.1977,0.0438
1975-10,0.1444,-0.1429,0.1846,0.1072,0.1602,0.1329,-0.0506,0.0921,0.1484,0.0983,0.0991,0.1608,0.0753,0.0388,0.1531
1975-11,-0.0566,0.0303,-0.1558,-0.026,-0.0223,0.0553,0.0933,0.1193,0.084,0.0362,0.0551,-0.0306,0.0479,0.0841,0.0619
1975-12,0.0619,0.1624,0.0462,0.0222,0.019,-0.0477,0.0072,-0.0652,-0.06,-0.102,-0.119,-0.0045,-0.043,0.0086,-0.1237
1976-01,-0.0291,0.1154,0.25,-0.0238,0.0549,0.071,0.1818,0.0988,0.1277,0.1087,0.0469,0.0769,0.0393,0.0442,0.0381
1976-02,-0.038,0.069,0.1647,0.0269,-0.025,-0.11,-0.021,-0.0857,-0.0889,-0.0928,-0.069,-0.0966,-0.0774,0.0508,0.1101
1976-03,-0.0625,0.0649,-0.0204,-0.0349,-0.0037,0.0528,0.0991,-0.0526,0.0478,0.0556,0.1089,0.1194,0.0663,0.0161,0.084
1976-04,0.0278,-0.051,-0.0313,-0.061,-0.0599,-0.0279,-0.0464,0.0741,-0.0612,-0.0709,-0.0319,-0.0879,-0.0133,0.0317,-0.1221
1976-05,0.0832,-0.1501,0.0761,-0.068,0.004,-0.0072,0.0347,-0.0057,-0.0152,-0.0236,-0.0295,0.0229,-0.0042,0,-0.0435
1976-06,0.11,0.0897,0.0288,0.1146,-0.0197,-0.0275,0.1133,0.1988,0.0435,0.0736,0.0336,0.0569,0.0736,0.0308,0.0015
1976-07,-0.1081,-0.0235,-0.0206,0.0316,0.1194,0.0253,0.0153,-0.0195,0.0312,-0.0047,-0.0278,-0.0214,0.0177,0.0149,-0.1273
1976-08,-0.1343,-0.0116,-0.0474,0.0137,-0.0326,0.0363,-0.003,0.0199,-0.0043,0.0442,0.0479,-0.0054,-0.0091,-0.0735,0.2292
1976-09,-0.0702,0.037,0.0449,-0.018,0.0075,0.0169,-0.031,0.0591,0.0019,0.0137,0.0736,0.0708,0.0158,-0.127,0.0522
1976-10,0.044,-0.0357,-0.0161,-0.0149,0.0287,-0.0525,-0.0223,0.014,-0.0422,-0.0113,-0.0383,-0.0165,-0.0111,-0.0364,-0.0806
